ID,Name,Concepticon_ID,Concepticon_Gloss
animal,animal,619,ANIMAL
arm,arm,1673,ARM
ashes,ashes,646,ASH
bark,bark,1204,BARK
bed,bed,1663,BED
belly,belly,1251,BELLY
big,big,1202,BIG
bird,bird,937,BIRD
bite,bite,1403,BITE
blood,blood,946,BLOOD
bone,bone,1394,BONE
breast,breast,1402,BREAST
burn,burn,141,BURN (SOMETHING)
child,child,2099,CHILD
cloud,cloud,1489,CLOUD
come,come,1446,COME
count,count,1420,COUNT
dew,dew,1977,DEW
die,die,1494,DIE
dog,dog,2009,DOG
drink,drink,1401,DRINK
ear,ear,1247,EAR
eat,eat,1336,EAT
egg,egg,744,EGG
elephant,elephant,1290,ELEPHANT
eye,eye,1248,EYE
face,face,1560,FACE
fall,fall,1280,FALL
fatoil,"fat, oil",2551,ORGANIC FAT OR OIL
feather,feather,1201,FEATHER
fingernail,fingernail,1258,FINGERNAIL
fire,fire,221,FIRE
firewood,fire-wood,10,FIREWOOD
fish,fish,227,FISH
five,five,493,FIVE
fly,fly,1441,FLY (MOVE THROUGH AIR)
four,four,1500,FOUR
give,give,1447,GIVE
goat,goat,1502,GOAT
groundsoil,"ground, soil",1228,EARTH (SOIL)
hair,hair,2648,HAIR (HEAD)
head,head,1256,HEAD
hear,hear,1408,HEAR
heart,heart,1223,HEART
horn,horn,1393,HORN (ANATOMY)
house,house,1252,HOUSE
hunger,hunger,1864,HUNGER
intestine,intestine,1991,INTESTINES
iron,iron,621,IRON
kill,kill,1417,KILL
knee,knee,1371,KNEE
knife,knife,1352,KNIFE
know,know,1410,KNOW (SOMETHING)
leaf,leaf,628,LEAF
leg,leg,1297,LEG
liver,liver,1224,LIVER
louse,louse,1392,LOUSE
man,man,1554,MAN
moon,moon,1313,MOON
mouth,mouth,674,MOUTH
name,name,1405,NAME
navel,navel,1838,NAVEL
neck,neck,1333,NECK
night,night,1233,NIGHT
nose,nose,1221,NOSE
one,one,1493,ONE
person,person,683,PERSON
rain,rain,658,RAIN (PRECIPITATION)
road,road,667,ROAD
root,root,670,ROOT
salt,salt,1274,SALT
sand,sand,671,SAND
see,see,1409,SEE
send,send,1127,SEND
shame,shame,1776,SHAME
sing,sing,1261,SING
skin,skin,763,SKIN
sky,sky,1732,SKY
sleep,sleep,2972,SLEEP (STATE)
smoke,smoke,778,SMOKE (EXHAUST)
snake,snake,730,SNAKE
spear,spear,945,SPEAR
steal,steal,713,STEAL
stone,stone,857,STONE
sun,sun,1343,SUN
tail,tail,1220,TAIL
ten,ten,1515,TEN
three,three,492,THREE
tongue,tongue,1205,TONGUE
tooth,tooth,1380,TOOTH
tree,tree,906,TREE
two,two,1498,TWO
urine,urine,1142,URINE
village,village,930,VILLAGE
vomit,vomit,1278,VOMIT
walk,walk,1443,WALK
war,war,935,WAR
water,water,948,WATER
wind,wind,960,WIND
woman,woman,962,WOMAN
